date,open,high,low,close
2019-08-24,10386.458808456,10407.503090549,9968.718089627,10142.839395055
2019-08-25,10139.413036233,10298.296110663,10003.483494941,10118.399575204
2019-08-26,10150.617721237,10556.072515752,10150.617721237,10374.876617245
2019-08-27,10380.720316627,10380.720316627,10090.229211494,10219.413373246
2019-08-28,10206.418979658,10270.522244933,9691.87712645,9759.791528413
2019-08-29,9755.839219581,9755.839219581,9388.612159252,9493.755389208
2019-08-30,9499.878802461,9640.946925267,9409.399993687,9582.255357778
2019-08-31,9588.047563456,9657.900632341,9501.605978464,9609.787647368
2019-09-01,9607.181476079,9759.435329023,9566.21839372,9716.721909689
2019-09-02,9719.55538852,10399.885655126,9716.073542907,10329.859051573
2019-09-03,10328.873207893,10727.327767091,10279.704140115,10603.095462993
2019-09-04,10586.04148713,10766.860351048,10405.045697122,10578.320209569
2019-09-05,10570.598941629,10624.40247301,10503.866101465,10574.499542005
2019-09-06,10571.991889067,10887.874248649,10259.589238372,10339.455631575
2019-09-07,10317.832833801,10530.94637342,10315.228697326,10477.09483846
2019-09-08,10470.341080022,10572.520355028,10326.63608395,10410.187644035
2019-09-09,10408.890179822,10442.761181904,10135.676890092,10322.057607889
2019-09-10,10315.926502809,10382.489398557,10012.012964927,10132.544804558
2019-09-11,10124.284797734,10204.342522115,9973.087326473,10159.720473324
2019-09-12,10162.818177255,10430.549285807,10068.621408328,10387.514841215
2019-09-13,10406.999055878,10423.774252107,10193.334896139,10346.599194957
2019-09-14,10344.918397309,10420.200051218,10273.609581183,10353.549798216
2019-09-15,10349.132693446,10368.311044913,10283.331817049,10313.443525982
2019-09-16,10314.929924681,10362.122494313,10147.911922248,10268.657984963
2019-09-17,10273.277521964,10273.277521964,10171.825138418,10208.165817936
2019-09-18,10210.080590801,10252.141471773,10149.693436472,10164.101904869
2019-09-19,10161.163975249,10261.575491477,9781.984662058,10241.608795395
2019-09-20,10238.554568886,10255.158567383,10112.378809418,10179.862230841
2019-09-21,10176.715113783,10180.776817568,9977.084510201,10006.065330833
2019-09-22,10002.150611392,10070.520315857,9876.651282321,10050.187541129
2019-09-23,10038.947939225,10047.495876714,9696.204079567,9719.397018609
2019-09-24,9721.510103694,9792.649520023,8137.460767762,8588.424905857
2019-09-25,8553.728950314,8743.916533712,8270.46193408,8439.846189898
2019-09-26,8438.845674476,8457.814132705,7871.665873986,8077.936354442
2019-09-27,8075.401100047,8239.784966013,7909.344811111,8183.569872359
2019-09-28,8184.574472563,8227.632773209,8048.833810124,8208.59598768
2019-09-29,8209.160822339,8222.006280482,7955.684335853,8068.668738286
2019-09-30,8062.303348361,8282.996850629,7773.497353879,8269.028681584
2019-10-01,8286.791705696,8477.499526244,8200.939201929,8294.743596648
2019-10-02,8299.647676192,8361.919233145,8179.062792213,8361.919233145
2019-10-03,8355.824454953,8379.401244318,8105.82445839,8232.129997665
2019-10-04,8229.143722637,8229.143722637,8075.794879395,8155.655358897
2019-10-05,8151.39049692,8163.928569083,8044.380024243,8130.134393189
2019-10-06,8132.042462349,8146.147351539,7850.254887733,7876.455217631
2019-10-07,7884.202457388,8276.593674239,7819.2522184,8196.151959898
2019-10-08,8193.897663235,8311.881016769,8134.994324144,8189.796865126
2019-10-09,8182.596584042,8627.959232194,8128.889729005,8572.837276209
2019-10-10,8566.656500404,8626.435857946,8451.919832781,8556.950238475
2019-10-11,8559.836001759,8712.408923257,8272.024050522,8272.024050522
2019-10-12,8274.654084824,8386.981475311,8274.654084824,8314.921537248
2019-10-13,8310.145411179,8435.447811075,8246.244358698,8294.599727264
2019-10-14,8289.073814688,8363.631139914,8237.658240833,8347.201506449
2019-10-15,8348.315575696,8386.856510757,8144.31772147,8174.781558437
2019-10-16,8174.179979422,8182.888776279,7951.452173756,8008.809279101
2019-10-17,8003.417785957,8112.721653602,7948.820153465,8075.178241452
2019-10-18,8073.200474823,8108.729807857,7880.418127858,7955.464770683
2019-10-19,7952.310000157,8026.427781552,7916.211744623,7950.124307851
2019-10-20,7954.616126618,8254.275408258,7900.438614016,8202.005472651
2019-10-21,8211.341400254,8269.437580008,8162.813049258,8212.771665108
2019-10-22,8215.031226909,8278.600259005,8027.920376243,8040.006228697
2019-10-23,8036.487926759,8052.264330486,7398.577412276,7469.521062846
2019-10-24,7480.706885659,7500.371453126,7377.740725355,7440.037915254
2019-10-25,7432.693138298,8678.882279927,7421.365392265,8651.134449573
2019-10-26,8652.60800883,10112.45209391,8651.282623885,9235.929531419
